{47dcf37a-6a8d-4ef6-9f82-2e0398fa69f9} bank:/common
{0866d50a-4902-4ecd-bc3a-fe3bae75ddc2} bank:/garage_dark
{01a4acd5-640f-4282-a6b2-7394d3f5e8a9} bank:/hangar
{54e23136-2c84-4e4f-adc0-538e7e72e5cf} bank:/industrial
{4f6969ac-b7e1-45e5-84f1-31bc6f135357} bank:/showroom
{2a5a4477-0c06-4a9b-ab0a-baaf52186fc3} bank:/sunset
{e7a0a53c-47d9-43bc-b7b8-e52d665bb16f} event:/collisions/car/hit
{30da2dc2-9c09-4556-8501-c6d54f63b689} event:/collisions/car/scrape
{68d68373-2ebb-41cc-9825-fa6dcc0027c2} event:/collisions/object/hit
{4bd6b486-ac12-483a-8e9e-4f587f8ec27f} event:/collisions/track/hit
{e7c31cb2-ac8d-4a2a-abc0-855cf9dff82e} event:/collisions/track/scrape
{4cc7ac44-8aaf-4473-91ea-aeca681ab958} event:/common/ambience
{d1f12277-fe8f-4106-9fb2-3de595d54a1c} event:/common/dirt
{f5666b9c-c659-459c-85bd-0eff6e92f7eb} event:/common/screw
{deae65e4-a5a7-4810-8adb-277fe4a96aa3} event:/common/unscrew
{e12a70e7-e6f0-4f8e-af53-0c06327a5a1d} event:/showrooms/garage_dark
{378180d6-640f-40ef-90a0-c4bda57b37df} event:/showrooms/hangar
{29246fa1-207d-44a5-8938-3592f26d38f6} event:/showrooms/industrial
{f12c4de3-d817-4689-8985-f3a55d2274fc} event:/showrooms/showroom
{b4184b4e-69e3-4699-af52-02f0783ec2ea} event:/showrooms/sunset
{2cf5323a-2b34-4e01-ab6c-d0d6183d4ba7} event:/surfaces/extraturf
{62b4885a-92af-4af5-9f6d-2a467ffa2e3f} event:/surfaces/grass
{28e7a4ab-0e1c-4664-a7d8-b5fd89b024a0} event:/surfaces/gravel
{599532a9-5dac-40b8-8458-b0d16f89699a} event:/surfaces/kerb
{25b9a4aa-b8f7-4c53-ae28-0b98d81f732e} event:/surfaces/old
{7aa66622-f8c0-45b0-9650-89f6fc14cab1} event:/surfaces/sand
{c9bdf030-dda2-4d7c-9787-3dc4a166160c} event:/surfaces/tyre_rolling
{94f04703-a92c-49cf-a097-734f3e79ec08} vca:/vca_engine_ext
{ff157bb9-ecc1-49da-ad82-5e42fecb2ac9} vca:/vca_engine_int
{f8b9d9e5-bd29-4a82-a1a0-66e8b9059ccb} vca:/vca_skid
{45401f11-f5bd-429f-afb6-710deda49e32} vca:/vca_surfaces
{a61eba16-8f14-4a39-8ffd-c573cfdc0dbd} vca:/vca_transmission
{185673e8-d3ed-434c-acd4-61c819bb209c} vca:/vca_wind
{6f37a9a6-77e1-49ad-8026-ef8d5180b66d} event:/cars/ks_mazda_mx5_cup_nd2/backfire_ext 
{04963262-5e8a-4e28-abc1-ee2a3b86b890} event:/cars/ks_mazda_mx5_cup_nd2/backfire_int 
{59b93785-e9a6-492b-8a72-1823605f28c1} event:/cars/ks_mazda_mx5_cup_nd2/bodywork 
{5def7311-0409-46b8-90d9-797812b48920} event:/cars/ks_mazda_mx5_cup_nd2/door 
{0f391af5-3212-4e77-88ba-78199d235332} event:/cars/ks_mazda_mx5_cup_nd2/engine_ext 
{e13c4bfc-3957-4b84-b57e-911c6b3b1559} event:/cars/ks_mazda_mx5_cup_nd2/engine_int 
{91809ada-b9a7-4841-9c7d-15f07a148ee5} event:/cars/ks_mazda_mx5_cup_nd2/gear_ext 
{f551714b-4d9b-4691-aa09-c404cfa87507} event:/cars/ks_mazda_mx5_cup_nd2/gear_grind 
{81f307e9-4669-46cb-bf8a-a1dfffe5de1a} event:/cars/ks_mazda_mx5_cup_nd2/gear_int 
{228e1622-47b8-4a0c-a0c8-460a2c0f7782} event:/cars/ks_mazda_mx5_cup_nd2/horn 
{e84129f4-66e3-4bed-80f2-c4320e1ff610} event:/cars/ks_mazda_mx5_cup_nd2/limiter 
{506d030c-8831-474c-914a-91c9b3c9d05f} event:/cars/ks_mazda_mx5_cup_nd2/skid_ext 
{2454e8ca-92b6-4a56-9ad5-597d9a001ede} event:/cars/ks_mazda_mx5_cup_nd2/skid_int 
{45660af2-189a-4649-9613-c5248fc76deb} event:/cars/ks_mazda_mx5_cup_nd2/tractioncontrol_ext 
{a9461bed-042c-46fe-8c32-a7082b425a75} event:/cars/ks_mazda_mx5_cup_nd2/tractioncontrol_int 
{cbc2037e-1451-4ac9-95e1-5e0db56d9dde} event:/cars/ks_mazda_mx5_cup_nd2/transmission 
{cb7cffdb-3d2c-4545-825b-566718c93b57} event:/cars/ks_mazda_mx5_cup_nd2/wheel 
{ad4b8c69-c15f-4ec9-bde0-ef6b4303ff91} event:/cars/ks_mazda_mx5_cup_nd2/wind 
